Epicenter Distance,Restricted Entry,Restricted Use,Reoccupancy,Best Line Functionality,Full Functionality
24.6,0.347,0.515,0.0813,0.0423,0.0143
38.3,0.281,0.455,0.127,0.0921,0.0454
39.9,0.266,0.457,0.133,0.0999,0.0447
41.8,0.262,0.439,0.137,0.109,0.054
62.3,0.178,0.335,0.15,0.175,0.161
46.3,0.231,0.418,0.149,0.128,0.073
47.1,0.228,0.413,0.147,0.135,0.0774
58.2,0.201,0.378,0.156,0.154,0.111
63.2,0.178,0.354,0.163,0.171,0.134
54.6,0.201,0.376,0.155,0.155,0.113
50,0.225,0.401,0.153,0.138,0.0821
31.1,0.705,0.24,0.0295,0.0179,0.00768
32.2,0.586,0.299,0.0541,0.042,0.019
67.3,0.151,0.329,0.171,0.194,0.156
34.5,0.307,0.475,0.109,0.0749,0.034
52.4,0.208,0.389,0.157,0.147,0.0985
29.7,0.318,0.493,0.101,0.063,0.0249
29,0.329,0.511,0.0933,0.0499,0.0168
40.9,0.255,0.446,0.134,0.106,0.0578
44.7,0.255,0.438,0.134,0.11,0.0637
49.4,0.214,0.397,0.15,0.141,0.0974
41.5,0.261,0.438,0.138,0.112,0.0512
42.3,0.251,0.446,0.139,0.109,0.055
43.3,0.239,0.432,0.144,0.12,0.0646
32.5,0.303,0.486,0.112,0.071,0.0279
49.8,0.294,0.414,0.124,0.111,0.0567
29,0.31,0.499,0.104,0.0631,0.0239
45.2,0.24,0.429,0.145,0.119,0.0672
36.2,0.285,0.458,0.122,0.0895,0.0464
64.9,0.158,0.329,0.159,0.188,0.166
27.7,0.697,0.256,0.0279,0.0138,0.00555
37.3,0.277,0.468,0.128,0.09,0.037
38.6,0.318,0.455,0.113,0.0805,0.0341
35.8,0.289,0.473,0.121,0.0796,0.0368
47.5,0.239,0.425,0.145,0.119,0.0709
37.3,0.29,0.471,0.125,0.0822,0.0329
33.9,0.307,0.482,0.112,0.0712,0.0273
43.4,0.261,0.441,0.137,0.106,0.0551
46.5,0.236,0.421,0.147,0.126,0.0696
27.7,0.707,0.251,0.0248,0.0108,0.0063
35.6,0.287,0.463,0.123,0.0874,0.04
46.2,0.245,0.427,0.14,0.12,0.0679
49.7,0.22,0.398,0.148,0.138,0.0958
35.7,0.561,0.294,0.0638,0.0558,0.0254
28.6,0.325,0.512,0.0953,0.0516,0.0167
45.6,0.245,0.423,0.142,0.122,0.0689
38.2,0.279,0.451,0.126,0.0957,0.0482
48.7,0.224,0.411,0.149,0.133,0.0837
40.4,0.258,0.444,0.136,0.105,0.0565
35.8,0.334,0.445,0.103,0.079,0.0388
45.4,0.24,0.427,0.144,0.121,0.0681
39.6,0.26,0.439,0.137,0.108,0.0557
42.6,0.26,0.433,0.136,0.113,0.0569
52.5,0.209,0.395,0.155,0.148,0.093
53.7,0.212,0.385,0.151,0.147,0.106
54.7,0.201,0.391,0.155,0.147,0.105
37.8,0.289,0.457,0.125,0.0895,0.0386
37.8,0.28,0.469,0.125,0.0864,0.04
31.1,0.313,0.49,0.107,0.0649,0.0255
39.2,0.274,0.457,0.128,0.0957,0.045
38.9,0.264,0.45,0.133,0.103,0.0502
36.4,0.188,0.472,0.158,0.118,0.0644
51.2,0.217,0.403,0.155,0.141,0.0833
35,0.293,0.467,0.123,0.084,0.0323
45.5,0.231,0.414,0.149,0.128,0.0784
34.7,0.293,0.474,0.121,0.0812,0.0307
38.9,0.269,0.438,0.13,0.105,0.0576
39.5,0.266,0.459,0.131,0.0982,0.0454
